主题,词汇,权重
1,朝南,0.078848235
1,房,0.044905122
1,方正,0.0414634
1,银行,0.041088223
1,主卧室,0.036405843
1,距离,0.030192003
1,本房,0.027981192
1,地铁,0.027321197
1,老人,0.026464064
1,浪费,0.022839505
1,电梯,0.021268293
1,落地窗,0.012967896
1,产权,0.012722177
1,安静,0.011995077
1,双,0.011575632
1,诚意,0.009509827
1,城,0.0092515
1,幼儿园,0.009027944
1,一家人,0.008255351
1,万达,0.008077005
1,效果,0.0072690444
1,东门,0.007013012
1,私密性,0.0060354127
1,饭店,0.005644585
1,房屋,0.005539963
1,干湿,0.0052986033
1,卖房,0.0052829613
1,地铁站,0.0048177205
1,城市,0.0047885873
1,土地,0.0047391965
1,出让金,0.0047391965
1,航天,0.0047113704
1,公交站,0.0044509904
1,大客厅,0.0042625554
1,原因,0.004201391
1,小时,0.0041044597
1,国际,0.0040605427
1,凯德,0.003865139
1,便民,0.0038644697
1,汇,0.0037078618
1,农业,0.0036739164
1,散步,0.0036051353
1,朝向,0.0034574028
1,长,0.0034487408
1,家园,0.0034035377
1,山姆,0.0033276714
1,高层,0.0031576625
1,沃尔玛,0.0031468289
1,便利店,0.0030216672
1,会员,0.0029513205
1,滨河,0.002919597
1,美廉美,0.0028750438
1,雕塑公园,0.0027865346
1,很棒,0.0027772437
1,航空,0.0027518466
1,通透性,0.0027374069
1,广安门,0.002623089
1,郊野,0.0026100632
1,街,0.0025858167
1,仁和,0.0025777787
1,置业,0.0025672687
1,光大银行,0.0025315082
1,餐桌,0.0024302576
1,空军,0.0024234504
1,书房,0.002407018
1,双阳台,0.0023930655
1,个税,0.0023847097
1,右手边,0.0023568023
1,鞋柜,0.0023336704
1,美食,0.0021726403
1,重新,0.002159415
1,买菜,0.002142897
1,莲,0.002109161
1,左手边,0.0020768966
1,品牌,0.0019535825
1,四环,0.0019428136
1,品质,0.001931816
1,金泰,0.0018855536
1,公摊,0.0018498418
1,停车位,0.001820305
1,香山,0.0018057622
1,家人,0.0018048175
1,康庄,0.0017934786
1,拐角,0.0017607253
1,双井,0.0017403562
1,记忆,0.0017172598
1,油烟,0.0016887396
1,原值,0.0016825015
1,物业,0.0016724837
1,润泽,0.0016718315
1,长安,0.0016622145
1,石湖,0.001628417
1,港湾,0.0016218968
1,蓝色,0.0016218966
1,莲花,0.0016067162
1,通州,0.001577049
1,虾,0.0015500557
1,步行街,0.0014866311
1,幸福,0.0014670937
1,有名,0.0014131841
1,太阳,0.0013965601
1,墙,0.0013753546
1,性,0.0013748395
1,红领巾,0.0013724073
1,惬意,0.0013650978
1,兴华,0.0013558331
1,枣林,0.0013497355
1,清河,0.0013420226
1,平常,0.0013213602
1,鸿,0.0013120864
1,始发站,0.0012961571
1,北医三院,0.001280477
1,桥,0.00125844
1,邮局,0.0012570726
1,密云,0.0012445449
1,交易成本,0.001235786
1,万象,0.001224937
1,日照,0.001216332
1,塔楼,0.0011956518
1,菜篮子,0.0011914431
1,大望路,0.0011903372
1,上品,0.0011887983
1,视线,0.001169551
1,华润,0.0011666125
1,测距,0.0011415813
1,角,0.001136097
1,银泰,0.0011099449
1,农历,0.0010998417
1,实地,0.0010941435
1,方便使用,0.0010707199
1,南海子,0.0010570912
1,口,0.0010322899
1,旧宫,0.0010147635
1,小口,0.0010054585
1,朝阳区,0.0009976914
1,菜,0.0009891401
1,风景,0.0009836885
1,繁华,0.00096115377
1,加州,0.0009538578
1,卧带,0.00094804383
1,商,0.000941243
