主题,词汇,权重
1,小区,0.45350853
1,板楼,0.03671262
1,环境,0.034781456
1,开发商,0.027462978
1,广场,0.020082476
1,单位,0.018659974
1,集团,0.016276667
1,楼层,0.016119627
1,低,0.015493281
1,人群,0.014746044
1,路,0.014395046
1,户,0.014183234
1,安保,0.013735246
1,方正,0.013459524
1,安全,0.013173775
1,本房,0.012685439
1,老人,0.011549907
1,整洁,0.010112102
1,不错,0.009621054
1,建筑,0.009176406
1,楼道,0.009163942
1,孩子,0.009006579
1,物业公司,0.008688011
1,高层,0.0076616816
1,地产,0.006402812
1,层板,0.005830717
1,通风,0.0056679677
1,车库,0.005657247
1,职工,0.004576262
1,百度,0.0044244416
1,朝向,0.0043345345
1,家庭,0.004073332
1,摄像头,0.0036903378
1,热水,0.0036420121
1,风格,0.0035428999
1,质量,0.0034096409
1,中国银行,0.0027341614
1,建设银行,0.0025385844
1,居,0.0025314372
1,很好,0.0020737778
1,三环,0.0020148742
1,佳,0.0017792096
1,合式,0.0017306538
1,税费,0.0017238857
1,诚心,0.0017196574
1,总户数,0.0015078406
1,三代人,0.0014585645
1,华润,0.0013918182
1,精心,0.0013629978
1,西四环,0.0013629168
1,公摊面积,0.0013617922
1,氛围,0.0012837636
1,美丽,0.0012276227
1,高品质,0.0011027103
1,买菜,0.0010795697
1,伟业,0.0010118337
1,韩建,0.0010014665
1,氧吧,0.00093601475
1,干湿,0.0008840609
1,人口,0.00085113634
1,北三环,0.00084469304
1,西南,0.00081431004
1,政府,0.0007903466
1,南海子,0.0007541893
1,道路,0.0007405089
1,小桥流水,0.00071242085
1,理发店,0.00070370757
1,时尚,0.00064986845
1,北京城建集团,0.00063020183
1,水费,0.000605766
1,绿色,0.000593985
1,桥东,0.0005798577
1,树种,0.0004903084
1,华凯,0.00047516506
1,水景,0.00043315048
1,委员会,0.00038476134
1,庄站,0.00038138928
1,永定河,0.0003551797
1,民生银行,0.00035192046
1,木材厂,0.00034801263
1,宿舍,0.0003326898
1,楼间,0.0003286948
1,罗斯福,0.00032234457
1,高薪,0.00030342155
1,梧桐树,0.0002993611
1,沙峪,0.00029473487
1,空港,0.0002921724
1,交叉路口,0.0002629735
1,苏式,0.00024789825
1,东南西北,0.00024493612
1,凉水河,0.00023187835
1,嘉,0.00023187834
1,一条街,0.00021528236
1,亭台,0.00018491587
1,正南,0.00017862661
1,主管,0.00016552822
1,河谷,0.00015542099
1,东潞苑,0.0001511703
1,盘,0.00015117029
1,环球,0.00014431433
1,世鸿承,0.00013823132
1,情趣,0.00013821991
1,崇建,0.00012660584
1,耀莱,0.00012660584
1,宝星,0.000122631
1,二里,0.000121850164
1,石门,0.000121850164
1,私人,0.000114867034
1,红黄蓝,9.8220706e-05
1,甄氏,9.781095e-05
1,国家,9.781095e-05
1,鱼池,8.534909e-05
1,京东,2.202203e-05
1,个大,2.202203e-05
1,明城墙,2.202203e-05
1,非承重墙,2.202203e-05
1,名苑,2.202203e-05
1,参差,2.202203e-05
1,挡雨,2.2021497e-05
1,滨湖,2.2021497e-05
1,涌溪,2.2021497e-05
1,商用,2.2021497e-05
1,航天部,2.2021497e-05
1,北宇,2.2021497e-05
1,楼距,2.2021404e-05
