主题,词汇,权重
1,区,0.078699514
1,路,0.040880512
1,大街,0.030988395
1,宿舍,0.021316336
1,南区,0.020632587
1,城,0.018155068
1,社区,0.013225652
1,新村,0.013077189
1,公馆,0.012114383
1,庄园,0.010590491
1,中路,0.010295227
1,南街,0.009018654
1,东路,0.007873214
1,长安,0.0074051926
1,营,0.006725491
1,新城,0.006382285
1,五区,0.0063174726
1,时代,0.006011173
1,雅园,0.005298784
1,中海,0.0052347574
1,滨河,0.005114343
1,车公庄,0.004985605
1,北京城,0.0047010765
1,南华,0.004477977
1,远洋,0.004476918
1,密云,0.004241012
1,桥,0.0041079056
1,村,0.0039031466
1,乙,0.0038945754
1,华远,0.0038220184
1,鸿坤,0.0037596957
1,坟,0.0036548197
1,中街,0.0036486096
1,理想,0.0035854634
1,佳园,0.0035650537
1,世家,0.0033864456
1,北里,0.0033564968
1,桃园,0.00329213
1,平房,0.0031906003
1,头条,0.0030725675
1,中学,0.0030439864
1,金隅,0.0030420274
1,都市,0.0028999283
1,莲,0.002885167
1,科技,0.0028749313
1,家属区,0.002830477
1,东大街,0.0028290316
1,百万庄,0.0027795534
1,景,0.002760571
1,槐,0.002754689
1,枫,0.0026758136
1,康庄,0.0024356782
1,莲花池,0.0023940508
1,双,0.0023920573
1,小街,0.0023867611
1,虎,0.0023812533
1,御园,0.0023809874
1,河南,0.002320542
1,佟馨,0.002320542
1,长,0.0022951243
1,高,0.0022703656
1,华润,0.00221577
1,滨河路,0.0020830415
1,丽都,0.0020531719
1,北三环,0.001972582
1,有限公司,0.0019655908
1,田园,0.0019655908
1,关东,0.0019304871
1,住宅小区,0.0019297006
1,报国寺,0.0019156777
1,明珠,0.0019149787
1,祥和,0.0018898672
1,万通,0.0018810789
1,泉,0.0018780684
1,源,0.0018091582
1,科学,0.0018069275
1,朝阳,0.0017823537
1,护国寺,0.0017716977
1,月坛,0.0017716977
1,宏大,0.0017579295
1,潘家园,0.001746741
1,庄子,0.0017243423
1,金色,0.0017056598
1,首城,0.0016035215
1,观音寺,0.0015615803
1,龙熙顺,0.0015615803
1,首邑,0.0015615803
1,瀛海,0.0015615802
1,丹麦,0.0015615802
1,小汤山,0.0015615802
1,西巷,0.0015314292
1,营房,0.001484298
1,一巷,0.0014742677
1,美丽,0.0013953104
1,新园,0.0013789217
1,云,0.001366206
1,鸿,0.0013563769
1,西苑,0.0013545312
1,新华,0.0013414705
1,白广路,0.0013397569
1,桐城,0.0013391906
1,马坡,0.0013388443
1,慧谷,0.0013200779
1,龙泉,0.0013176064
1,团结,0.0013160293
1,庙街,0.0013146062
1,金泰,0.001311087
1,德胜门,0.0013091335
1,瑞海园,0.0013085885
1,枣园,0.0013085885
1,海子,0.0013085885
1,香林,0.0013085885
1,漫,0.0013085885
1,贵园,0.0013085885
1,南海,0.0013085885
1,绿洲,0.0012941285
1,和平街,0.0012674504
1,店,0.001247371
1,万达,0.001245688
1,城市之光,0.0012359159
1,竹,0.0011997154
1,新华街,0.0011974411
1,海,0.00117945
1,湖南,0.0011544578
1,观承,0.0011462331
1,经典,0.001120659
1,城北区,0.0011132155
1,博,0.0011033932
1,琉璃,0.0010989179
1,温馨,0.0010918775
1,嘉铭,0.0010862018
1,上城,0.0010858638
1,优山,0.0010858638
1,美地,0.0010858638
1,林苑,0.0010564962
1,郁,0.0010555915
1,角,0.0010555915
1,蓝岸丽,0.0010555915
1,丽园,0.0010555915
1,回迁房,0.0010555915
1,寺,0.0010274152
1,黑,0.0010237285
1,凯德,0.0010117544
1,定福庄,0.0009937213
1,礼,0.0009773149
1,煤炭,0.0009769826
1,天坛,0.0009769297
1,大山子,0.0009765818
1,西安,0.00097407226
1,前街,0.00097053056
1,北新桥,0.0009443752
1,右安门,0.00093765964
1,劲松,0.0009250231
1,佳,0.00092306774
1,儒,0.0009124629
1,白纸坊,0.00090781134
1,东润枫,0.00090781134
1,三里河,0.00090781134
1,外,0.00090781134
1,东山,0.0008981549
1,九区,0.0008928973
1,西黄,0.0008797453
1,三义,0.0008731002
1,福地,0.00086588046
1,仁合,0.0008645655
1,别墅区,0.0008630727
1,泰达,0.0008630727
1,西平,0.0008630727
1,下坡,0.0008630727
1,派尚,0.0008630727
1,瑞,0.0008601866
1,南院,0.0008601866
1,城南区,0.0008601866
1,坊,0.000855029
1,羊,0.000855029
1,恒大,0.00083288166
1,金碧,0.00083288166
1,方舟,0.00083256874
1,华龙,0.0008203396
1,清逸,0.00080258393
1,清和园,0.00080258393
1,德茂佳,0.00080258393
1,同庆,0.00080258393
1,里尚城,0.00080258393
1,德,0.00080258393
1,标,0.00080258393
1,兴盛,0.00080258393
1,棠颂,0.00080258393
1,林肯公园,0.00080258393
1,城派,0.00080258393
1,兴政,0.00080258393
1,星光,0.00080258393
1,兴海,0.00080258393
1,米兰,0.00080258393
1,村东,0.00080258393
1,黄,0.00080258393
1,和斐丽,0.00080258393
1,联港,0.00080258393
1,兴南,0.0008025839
1,公社,0.0008025839
1,西红世,0.0008025839
1,木兰,0.0008025839
1,干警宿舍,0.0008025839
1,垡头,0.00079824694
1,椿树,0.000763827
1,新风,0.000763827
1,春风,0.0007598626
1,工体,0.00071967096
1,桃杨路,0.00070506096
1,南纬,0.0007024952
1,南巷,0.0007024952
1,欧陆,0.0006937917
1,库,0.0006871071
1,雅安,0.00067843543
1,马连道,0.00067781936
1,大井,0.0006773916
1,韩家,0.0006735053
1,半壁,0.0006735053
1,建国路,0.0006714174
1,大西洋,0.0006714174
1,广和里,0.0006714174
1,芍药居,0.0006714174
1,橄榄,0.00065426534
1,广和南,0.00065426534
1,日坛,0.0006542652
1,先锋,0.0006542652
1,外馆,0.0006542652
1,东镇,0.0006542652
1,光华路,0.0006542652
1,锦湖,0.00063988933
1,巴黎,0.00063988933
1,宏,0.00063706655
1,海润,0.00063706655
1,斜街,0.00063706655
1,绿岛,0.0006322265
1,爱民,0.0006198397
1,窑厂,0.0006198397
1,文华,0.0006198397
1,鸭子,0.0006198397
1,手帕,0.0006198397
1,宣武门,0.0006198397
1,馆街,0.0006198397
1,西安门,0.0006198397
1,太平,0.00061502773
1,上海,0.000602077
1,嘉华,0.000602077
1,京华,0.00059434347
1,广安,0.0005917301
1,小井,0.0005917301
1,石头,0.0005917301
1,维多,0.0005917301
1,花园别墅,0.00058487797
1,顺和,0.0005798852
1,华西街,0.0005798852
1,牛栏山,0.0005798852
1,俸,0.0005798852
1,彩,0.0005798852
1,彩苑,0.0005798852
1,南城,0.0005798852
1,金地悦,0.0005798852
1,枫桥,0.0005798852
1,帘子,0.00057386747
1,酱坊,0.00057386747
1,万福,0.0005579207
1,庵,0.0005579207
1,商务酒店,0.00055103726
1,后石,0.0005495486
1,澜新,0.0005495486
1,龙熙旭,0.0005495486
1,熙兆,0.0005495486
1,蓉园,0.0005495486
1,清澄,0.0005495486
1,佟,0.0005495486
1,华庭苑,0.0005495486
1,清源,0.0005495486
1,中苑,0.0005495486
1,沙,0.0005495486
1,国锐,0.0005495486
1,郁金香,0.0005495486
1,贵园南,0.0005495486
1,林肯,0.0005495486
1,景丙区,0.0005495486
1,火神庙,0.0005495486
1,兴业,0.0005495486
1,器件,0.0005495486
1,滨,0.0005495486
1,大满贯,0.0005495486
1,组团,0.0005495486
1,义和庄,0.0005495486
1,山熙,0.0005495486
1,日苑,0.0005495486
1,毓秀,0.0005495486
1,莱茵河,0.0005495486
1,王庙,0.0005495486
1,隆盛,0.0005495486
1,龙熙,0.0005495486
1,建海梓,0.0005495486
1,盛春坊,0.0005495486
1,六街,0.0005495486
1,南湖,0.0005495486
1,北藏村,0.0005495486
1,丽墅,0.0005495486
1,融园,0.0005495486
1,天锦苑,0.0005495486
1,云筑,0.0005495486
1,星岛,0.0005495486
1,顺路,0.0005495486
1,天宫,0.0005495486
1,石座,0.0005495486
1,金郡,0.0005495486
1,丽喜,0.0005495486
1,龙苑,0.0005495486
1,波普,0.0005495486
1,龙庭,0.0005495486
1,龙湾,0.0005495486
1,滤纸,0.0005495486
1,玉兰,0.0005495486
1,丽斯,0.0005495486
1,华昱,0.0005495486
1,焦,0.0005495486
1,望潮,0.0005495486
1,香花,0.0005495486
1,望泉,0.0005495486
1,原筑,0.0005495486
1,金惠园,0.0005495486
1,富康,0.0005495486
1,天键,0.0005495486
1,城东路,0.0005495486
1,石景,0.0005495486
1,天琅,0.0005495486
1,四里,0.0005495486
1,幻星,0.0005495486
1,雄,0.0005495486
1,讲理,0.0005495486
1,林校,0.0005495486
1,甲区,0.0005495486
1,饭店,0.0005495486
1,清欣园,0.0005495486
1,蓝海,0.0005495486
1,东二旗,0.0005495486
1,德家苑,0.0005495486
1,富兴,0.0005495486
1,拓诚,0.0005495486
1,德阳,0.0005495486
1,化轻,0.0005495486
1,荣墅,0.0005495486
1,信息,0.0005487021
1,岚,0.00053383445
1,山西,0.00053383445
1,新仓,0.00052723533
1,西海,0.0005123134
1,和丽园,0.0005102649
1,富尔,0.0005102649
1,观湖,0.0005102649
1,华盛,0.0005102649
1,双泉堡,0.0005102649
1,霞光,0.0005102649
1,晴苑,0.0005102649
1,紫晶,0.00049566285
1,天安,0.0004930868
1,华严路,0.0004758462
1,墙根,0.0004758462
1,文昌,0.0004758462
1,西单,0.0004758462
1,弘善,0.0004758462
1,樱桃,0.0004758462
1,海南,0.0004758462
1,陶然亭,0.0004758462
1,地安门,0.0004758462
1,北安,0.0004758462
1,罗厂,0.0004758462
1,文兴街,0.0004758462
1,恒华,0.00047096272
1,景苑,0.00047096272
1,市场,0.00047096272
1,云居,0.00047096272
1,福景苑,0.00047096272
1,高尔夫,0.00047096272
1,绒线,0.00046060272
1,糖房,0.00046060272
1,通泰,0.00044084483
1,康乐,0.00044084483
1,中巷,0.00044084483
1,戏楼,0.00042982638
1,绿景苑,0.00042982638
1,东公街,0.00042982638
1,美博汇,0.00042982638
1,天桥,0.000413902
1,盛世,0.000413902
1,鹏,0.0003683155
1,煤厂,0.0003683155
1,冰窖,0.0003683155
1,华里,0.00035297664
1,林达,0.00034909789
1,万红里,0.00034909789
1,名座,0.00034909789
1,乐栋,0.00034909789
1,林达海,0.00034909789
1,清境,0.00034909789
1,凯景铭,0.00034909789
1,广渠路,0.00034909789
1,芳馨,0.00034909789
1,明湖,0.00034909789
1,富邦,0.00034909789
1,唐,0.00034909789
1,光熙,0.00034909789
1,广顺,0.00034909789
1,乔丽晶,0.00034909789
1,报社,0.00034909789
1,乔丽致,0.00034909789
1,翠园,0.00034909789
1,慧谷根,0.00034909789
1,东旭,0.00034909789
1,华侨,0.00034909789
1,北塘,0.00034909789
1,豪庭,0.00034909789
1,红松,0.00034909789
1,望京,0.00034909789
1,万豪,0.00034909789
1,星海,0.00034909789
1,豪园,0.00034909789
1,桥路,0.00034909789
1,恒基,0.00034909789
1,华声,0.00034909789
1,京友,0.00034909789
1,福盈,0.00034909789
1,光彩,0.00034909789
1,国雅,0.00034909789
1,富仁名苑,0.00034909789
1,方丹苑,0.00034909789
1,金台里,0.00034909789
1,嘉铭园,0.00034909789
1,格纳斯,0.00034909789
1,国门,0.00034909789
1,惠普,0.00034909789
1,东湖,0.00034909789
1,大湖山庄,0.00034909789
1,东恒,0.00034909789
