,关键词,词频占比
0,小区,0.17538786440468804
1,户型,0.1394498318834895
2,朝南,0.13086307958139948
3,客厅,0.1217278219794235
4,阳台,0.10412465421968711
5,采光,0.09854518574265901
6,房子,0.09709672619799395
7,公园,0.09628339635721149
8,卧室,0.0959191871333765
9,通透,0.09432668333619322
10,主卧室,0.07955688097437076
11,医院,0.07274172285866068
12,此房,0.06941880659647415
13,厨房,0.06385875089743354
14,主卧,0.06367552403633421
15,卫生间,0.06349258514545211
16,南北,0.06309366501271603
17,方正,0.0601150737558141
18,适合,0.05848418168849295
19,楼层,0.05752157146281359
20,本房,0.05718311766400209
21,业主,0.055483288886282185
22,方便,0.05474929897007457
23,居住,0.0538711081176163
24,契税,0.05193963785067781
25,配套,0.04921318427362883
26,商场,0.0471606748866423
27,两居室,0.046420728746452214
28,购物,0.04622495364313755
29,号线,0.046195968418516975
30,物美,0.04451462967400522
31,无遮挡,0.03947095304283864
32,地铁,0.03802510632787425
33,视野,0.03517766174109055
34,格局,0.03340819430673713
35,生活,0.03252172903418318
36,首套,0.03216191849571509
37,广场,0.03195288462660156
38,距离,0.02922599726972533
39,电梯,0.02886123019257149
40,窗户,0.028741330091044386
41,面积,0.02856468387065984
42,浪费,0.028333867133231126
43,银行,0.028095785818642714
44,超市,0.027674596551834987
45,南向,0.027512910587264336
46,1%,0.027467873113712793
47,齐全,0.027256458993391956
48,商品房,0.02714617462488877
49,菜市场,0.026871391048321674
50,老人,0.026866606926225382
51,三居室,0.02591260628527624
52,3%,0.025719917551931072
53,便利,0.02552533187798726
54,落地窗,0.02486164952318538
55,看房,0.023971961990149348
56,比较,0.022525717534959792
57,五年,0.022331436456557704
58,社区,0.02174457734856689
59,京客隆,0.02119581135448564
60,装修,0.020639375784087727
61,遮挡,0.020322185058877285
62,出行,0.019933628449243446
63,平米,0.019512538062713105
64,永辉,0.01940445072427572
65,唯一,0.019144527779239685
66,餐厅,0.019142144475023708
67,通风,0.019000339336114884
68,出售,0.01887146678181431
69,正规,0.01845064206225274
70,舒适,0.01782973599622872
71,中间,0.017675440291024545
72,二套,0.017526840578425275
73,购房,0.01742763919848376
74,华联,0.01717842474298068
75,精装修,0.017171765713528984
76,充足,0.017038963144768042
77,明卫,0.016730431805625067
78,公里,0.01661216065651655
79,飘窗,0.01623101593083029
80,居室,0.016042377035583918
81,产权,0.015993805106778065
82,地图,0.01578212371437431
83,客户,0.015684988558197808
84,一梯,0.01544901736602402
85,全明,0.015232184181240732
86,落地,0.015013991980659632
87,餐饮,0.015002678791123969
88,板楼,0.014982476243843343
89,进门,0.014904049736449087
90,安静,0.0146879201261623
91,随时,0.014608422587348303
92,建设银行,0.01455919205101368
93,入住,0.014540921651508512
94,明厨,0.014483060369048565
95,工商银行,0.014441293698235822
96,临街,0.01404039321639227
97,三甲,0.013871195228458906
98,交通,0.013660110327657442
99,诚心,0.013562388275891384
100,北京,0.01355130905299384
101,10,0.013484228619459008
102,卧朝北,0.013484228619459008
103,两居,0.01298481274466423
104,南门,0.01296467031610611
105,南侧,0.012944110847180368
106,北向,0.012767129715258485
107,合理,0.012656211181799687
108,万达,0.012586801608438641
109,诚意,0.012506525503669975
110,北侧,0.012386281809115404
111,百度,0.01237605943681504
112,购物广场,0.012231942700048043
113,家庭,0.0121852615726494
114,换房,0.012183106908198434
115,开阔,0.012146116272657128
116,建成,0.012141504387841671
117,两梯,0.01213851364473316
118,孩子,0.012013179962154988
119,家乐福,0.011738747492245223
120,麦当劳,0.011731607141547782
121,两户,0.011699824052540993
122,税费,0.011538254858646894
123,总医院,0.011518573804114883
124,独立,0.011334735546111542
125,清晰,0.011310577173410758
126,东门,0.011140393476692639
127,签约,0.011134558952426111
128,钢混,0.01103343604754047
129,北门,0.01103278890552731
130,拎包,0.011000634743749347
131,高德,0.010987149245485118
132,300,0.010987149245485118
133,东侧,0.010956254098538693
134,空间,0.010914016373708616
135,肯德基,0.01088450026707885
136,布局合理,0.010865186892350914
137,休闲,0.010667286795396344
138,成熟,0.010634854153079477
139,幼儿园,0.010601342179433317
140,公房,0.01052714316342141
141,分离,0.010452672376605743
142,满足,0.010373249341329714
143,望京,0.01028670438568564
