,precision,recall,f1-score,support
0,0.7,0.463855421686747,0.5579710144927535,166.0
1,0.49246231155778897,0.5730994152046783,0.5297297297297296,171.0
2,0.3333333333333333,0.2222222222222222,0.26666666666666666,18.0
3,0.5,0.5566037735849056,0.5267857142857143,106.0
4,0.5135135135135135,0.4222222222222222,0.4634146341463415,45.0
5,0.15789473684210525,0.15,0.15384615384615385,20.0
6,0.2,0.058823529411764705,0.0909090909090909,17.0
7,0.44,0.36666666666666664,0.4,30.0
8,0.30344827586206896,0.6470588235294118,0.41314553990610325,68.0
9,0.504424778761062,0.5181818181818182,0.5112107623318385,110.0
10,0.5572916666666666,0.5752688172043011,0.5661375661375662,186.0
11,0.5119617224880383,0.5783783783783784,0.5431472081218274,185.0
12,0.475,0.37254901960784315,0.4175824175824176,51.0
13,0.6524390243902439,0.6604938271604939,0.656441717791411,162.0
14,0.5338345864661654,0.5461538461538461,0.5399239543726235,130.0
15,0.5,0.26,0.34210526315789475,50.0
16,0.6666666666666666,0.3783783783783784,0.48275862068965514,74.0
accuracy,0.5191944619257395,0.5191944619257395,0.5191944619257395,0.5191944619257395
macro avg,0.4730747421498619,0.43235036232903984,0.4389280031863404,1589.0
weighted avg,0.5351915586715614,0.5191944619257395,0.5173649919278505,1589.0
