小区名称,销售情况,区划,区域,周边地铁,建筑材质,建造年份,房价,在售房数,成交数量,正在出租,Cluster
凯德华玺,"['30天成交0套', '6套正在出租']",东城,金宝街,近地铁5号线东四站,2,2008-2009年,50601.0,,30,6,2
驹章胡同,"['30天成交0套', '0套正在出租']",东城,崇文门,近地铁5号线磁器口站,9,1949-1970年,,,30,0,0
康鸿家园,"['30天成交1套', '1套正在出租']",东城,和平里,近地铁5号线和平里北街站,11,2000年,103424.0,,30,1,1
京香福苑,"['30天成交0套', '3套正在出租']",东城,地安门,,11,2000-2003年,127897.0,,30,3,3
景泰嘉园,"['30天成交0套', '4套正在出租']",东城,永定门,近地铁5号线蒲黄榆站,2,2002年,76230.0,,30,4,4
景泰西里65号院,"['30天成交0套', '1套正在出租']",东城,永定门,,11,1985年,82058.0,,30,1,4
金鱼池东区,"['30天成交0套', '13套正在出租']",东城,天坛,近地铁7号线桥湾站,11,1976-2003年,84336.0,,30,13,4
罗车胡同,"['30天成交0套', '0套正在出租']",东城,东四,近地铁5号线北新桥站,9,1988-1998年,230704.0,,30,0,6
林调社区,"['30天成交0套', '3套正在出租']",东城,和平里,近地铁13号线柳芳站,12,1970-1999年,144223.0,,30,3,3
景泰东里,"['30天成交1套', '8套正在出租']",东城,蒲黄榆,近地铁14号线景泰站,12,1994年,80720.0,,30,8,4
金隆基大厦,"['30天成交0套', '2套正在出租']",东城,东四,近地铁5号线东四站,2,2002年,121630.0,,30,2,1
交林,"['30天成交0套', '6套正在出租']",东城,和平里,近地铁13号线柳芳站,11,1980-1993年,125272.0,,30,6,1
聚龙花园,"['30天成交0套', '7套正在出租']",东城,工体,近地铁2号线东四十条站,5,1993-2001年,78010.0,,30,7,4
金桥国际,"['30天成交0套', '25套正在出租']",东城,广渠门,近地铁7号线广渠门外站,3,2004-2005年,86767.0,,30,25,4
金世纪嘉园,"['30天成交2套', '19套正在出租']",东城,广渠门,近地铁7号线广渠门外站,2,2003-2013年,92607.0,,30,19,4
建国门北大街,"['30天成交0套', '1套正在出租']",东城,建国门内,近地铁1号线八通线建国门站,2,1988-1990年,102929.0,,30,1,1
建国门内大街,"['30天成交0套', '1套正在出租']",东城,建国门外,近地铁1号线八通线建国门站,12,1992-1996年,108955.0,,30,1,1
龙潭西里,"['30天成交0套', '4套正在出租']",东城,左安门,近地铁5号线天坛东门站,12,1974-2000年,97664.0,,30,4,1
朗家胡同24号院,"['30天成交0套', '3套正在出租']",东城,安定门,近地铁2号线鼓楼大街站,11,1977年,128711.0,,30,3,3
绿景馨园,"['30天成交0套', '15套正在出租']",东城,广渠门,近地铁7号线广渠门内站,11,2004-2005年,110877.0,,30,15,1
民旺园十九号院,"['30天成交0套', '5套正在出租']",东城,和平里,,11,1998-2000年,123774.0,,30,5,1
民委三舍,"['共33个户型', '30天成交0套', '0套正在出租']",东城,和平里,近地铁13号线柳芳站,0,2001年,120073.0,,33,0,1
美术馆后街,"['30天成交1套', '0套正在出租']",东城,东四,近地铁8号线中国美术馆站,7,1980-1995年,124199.0,,30,0,1
民旺园,"['共366个户型', '30天成交0套', '20套正在出租']",东城,和平里,近地铁13号线柳芳站,6,1956-2000年,122383.0,,366,20,1
美术馆东街,"['30天成交0套', '0套正在出租']",东城,东四,近地铁8号线中国美术馆站,14,1985-1988年,114228.0,,30,0,1
民主北街22号院,"['30天成交1套', '1套正在出租']",东城,永定门,近地铁14号线永定门外站,11,1970-1985年,83882.0,,30,1,4
煤渣胡同,"['30天成交0套', '1套正在出租']",东城,东单,近地铁5号线灯市口站,12,1964-1999年,114983.0,,30,1,1
