,关键词,词频占比
0,小区,0.5035151392550379
1,社区,0.10121152188996108
2,24,0.10090019554934392
3,物业,0.0849768035058675
4,物业费,0.08272050474482348
5,栋楼,0.08104111133585475
6,建成,0.06329452690071145
7,居住,0.06306559623137123
8,供暖,0.06304131854919358
9,车位,0.059379579816271226
10,人车,0.05917605901999295
11,电梯,0.05825966497321163
12,板楼,0.057771881348332096
13,户型,0.05278188265536445
14,小时,0.0442540362835994
15,绿化,0.04308610502448016
16,分流,0.04093135076326599
17,房子,0.04016591438489899
18,商品房,0.04000141029992785
19,保安,0.03902119492658568
20,物业管理,0.03900842398259933
21,花园,0.03836554138192379
22,朝南,0.03794780589194912
23,平米,0.03784576200676757
24,号楼,0.03771220032460568
25,方便,0.03732085743250906
26,楼间距,0.03708651162272636
27,开发,0.03542642363163132
28,公园,0.0354161284394003
29,配套,0.03484779007214914
30,采光,0.032899276025182896
31,区内,0.03283568217903416
32,开发商,0.0313834208799953
33,地下,0.029867652763900434
34,停车位,0.02902740382318629
35,集中,0.02844273724279079
36,环境优美,0.028276011176043694
37,环境,0.028259523753309784
38,此房,0.027882956622979727
39,一共,0.027479425504708034
40,停车,0.027032233605089936
41,通透,0.02693108891702883
42,塔楼,0.02680792062587422
43,适合,0.02673490859894909
44,150,0.025876988520607085
45,阳台,0.02579594212067186
46,舒适,0.02542025106156705
47,本房,0.025275198089895295
48,市政,0.025120320021735015
49,管理,0.02509842056417209
50,卧室,0.02476746986620243
51,生活,0.024337186078778942
52,客厅,0.02371403570035405
53,30,0.02367042360799718
54,比较,0.023620217165858447
55,充足,0.023164032604442917
56,南北,0.022608349215423016
57,总高,0.0218650523158618
58,地上,0.021840147111764886
59,广场,0.021728746581457483
60,10,0.021463858695387274
61,齐全,0.021113821341277268
62,楼层,0.020574613499842274
63,2004,0.01945789059301463
64,一梯,0.018837507384203638
65,安静,0.01870296204192681
66,2003,0.018454906541828308
67,便利,0.018430229299151453
68,水系,0.018280604822329686
69,号线,0.018254309731591045
70,安保,0.018250126953392842
71,楼栋,0.017943114593873752
72,位于,0.017832462367612927
73,北京,0.01777804423248943
74,2000,0.017652519300879254
75,两梯,0.017507800980612793
76,方正,0.01734325168741526
77,每平米,0.017265404834039197
78,门禁,0.017178126581461842
79,地铁,0.016924437741904993
80,中间,0.01676286878740184
81,业主,0.016003292451424254
82,公房,0.01599424062912947
83,住宅楼,0.01583312464428485
84,物业公司,0.015580839544818443
85,健身器材,0.015513241375226526
86,巡逻,0.015390367290933118
87,自持,0.015081499100338111
88,两居室,0.015075071219256326
89,2005,0.015044760767794818
90,楼龄,0.015036992003339151
91,有限公司,0.01446662003427042
92,素质,0.014337792132063395
93,厨房,0.01432800567512182
94,主卧,0.01424237352684576
95,主卧室,0.014228158547083697
96,钢混,0.014228158547083697
97,洋房,0.01377149981575609
98,二期,0.013718261771968589
99,幼儿园,0.013712736209071917
100,人群,0.013709247763524399
101,封闭式,0.013670772747773343
102,分房,0.013472005414160347
103,整洁,0.013361315694833207
104,改造,0.013301648870906773
105,卫生间,0.013212197379529833
106,两户,0.01312281046535338
107,楼道,0.013114317127992147
108,2008,0.013038792665422174
109,医院,0.012985621637016578
110,采暖,0.012851279697337068
111,老人,0.012821368235156724
112,出行,0.012704684871623599
113,干净,0.012695473290867842
114,层板,0.012599218025605746
115,单位,0.012593199145959461
116,三期,0.012591311758366835
117,单元,0.012542929211765723
118,健身,0.012493336870981944
119,12,0.012437002234710382
120,2006,0.012437002234710382
121,2009,0.012236405424473119
122,14,0.012236405424473119
123,休闲,0.011997028281452445
124,万科,0.01196147492603866
125,2002,0.01183521180399859
126,交房,0.011827402388106586
127,安全,0.011817115496064167
128,交通,0.011771592094118398
129,设施,0.011645795958216323
130,2010,0.011434018183524061
131,总共,0.011371677304094737
132,购物,0.011180037044888248
133,面积,0.011038775260942345
134,2012,0.011032824563049532
135,值班,0.010826224721901975
136,不错,0.010798985117135377
137,无遮挡,0.010709335321764882
138,成熟,0.010601866864519095
139,房地产,0.010425295227039062
140,视野,0.010348410388688167
141,设计,0.010294495504637225
142,首开,0.010290288268773073
143,园林,0.01025018722530455
144,集团,0.010089410786506478
145,家园,0.010088212923411975
146,11,0.010029840511863211
147,13,0.010029840511863211
148,栋板楼,0.009829243701625948
149,15,0.009829243701625948
150,门口,0.009804248751498424
151,为主,0.00972794183593664
152,格局,0.009555834184321765
153,刷卡,0.009527764958128734
154,2001,0.00942805008115142
155,位置,0.009331408883213974
156,整体,0.009306498317883079
157,免费,0.009266524196162997
158,2016,0.009227453270914154
159,两居,0.009227453270914154
160,两栋,0.009192092315591649
161,内部,0.009176748638500737
162,每月,0.00903203290157091
163,车库,0.008847117791254445
164,住宅,0.008845244920766495
165,三居室,0.008837092898130746
166,2011,0.008826259650439627
167,属于,0.00882039125495268
168,成本低,0.008790781339143903
169,北侧,0.008670904983626755
170,16,0.008625662840202362
171,每栋,0.008619868700902745
172,距离,0.008574572266317875
173,一期,0.008544909694113027
174,孩子,0.00852025819004732
175,进出,0.008436187489565742
176,建筑,0.008390721860572187
177,儿童,0.00833426417820055
178,物美,0.008332368285522519
179,南区,0.008331419674491577
180,南门,0.008274814872251157
181,70,0.008224469219727833
182,2014,0.008224469219727833
183,停车费,0.008215919070185918
184,邻里,0.008134335842510571
185,浪费,0.008110356970479899
186,人文,0.00807991862193503
187,2007,0.00802387240949057
188,2013,0.00802387240949057
189,菜市场,0.007926285528627761
190,商场,0.007875814474058662
191,结构,0.007863028091660515
192,超市,0.007846487781961876
193,外立面,0.007735891809881535
194,停车场,0.007711211701003424
195,低密度,0.007638800604310692
196,民水民电,0.007622678789016041
197,景观,0.00761374697559937
198,喷泉,0.007589914458170347
199,高层,0.007576785785161757
200,产权,0.007573696484623129
201,北门,0.007555278762330357
202,临街,0.007519339387819988
203,地铁站,0.0074366575465232565
204,100,0.007422081978778776
205,500,0.007422081978778776
206,居室,0.007318687563465333
207,完善,0.007299733067959427
208,健身房,0.007270746338912008
209,之间,0.007261701968400899
210,服务,0.007260792643175213
211,三栋,0.007221485168541512
212,分为,0.00721817062339016
213,北区,0.007112523231727297
214,2015,0.0070208883583042486
215,18,0.0070208883583042486
216,管家,0.006965389613022519
217,建设,0.006924096110516143
218,宜居,0.006916075785794349
219,燃气,0.006898014580610277
220,凉亭,0.006837442503053896
221,篮球场,0.006837031096395731
222,共有,0.0068248459821545066
223,200,0.006820291548066984
224,闹中取静,0.006811417537502517
225,通风,0.006799178260912646
226,东门,0.006784195808698738
227,楼下,0.006742941201070541
228,舒适度,0.006657334222221291
229,居民,0.00645518285046681
230,密度,0.006452710886574602
231,正规,0.006409459649788576
232,入户,0.006356406079795624
233,人员素质,0.00634836619825156
234,元月,0.006342393612504194
235,置业,0.006295204826065339
236,号院,0.006218501117355191
237,金隅,0.006218501117355191
238,热水,0.006097488179840258
239,供暖费,0.0060896220457094434
240,入住,0.006068102052224981
241,绿植,0.006017904307117927
242,25,0.006017904307117927
243,1.2,0.006017904307117927
244,活动,0.0060090854198838846
245,出入,0.00595135014634405
246,年代,0.005923742152837439
247,独立,0.005886373926744077
248,西侧,0.005871472534451977
249,精装修,0.0058579473453654616
250,娱乐,0.005826065839324116
251,三居,0.005817307496880662
252,小孩,0.0058167097989046245
253,严格,0.00578791193148265
254,四户,0.0057747955014766095
255,元平,0.005762061082226996
256,家属楼,0.0057574998706490365
257,保洁,0.005695015423239814
258,适宜,0.005685990043028391
259,一栋,0.005652489819946976
260,400,0.005616710686643399
261,20,0.005616710686643399
262,50,0.005616710686643399
263,2017,0.005616710686643399
264,1999,0.005616710686643399
265,京客隆,0.005597964018524733
266,遮挡,0.0055972573980636285
267,西门,0.00559511191667226
268,契税,0.0055851622388281095
269,四栋,0.005540443348295188
270,客户,0.00553177529103564
271,职工,0.005521212694759715
272,监控,0.005491249758081751
273,北京市,0.005474171789605343
274,游乐场,0.005432035985287603
275,60,0.0054161138764061345
276,21,0.0054161138764061345
277,窗户,0.005409340828479261
278,游泳馆,0.00538553703149708
279,南向,0.005371972298987349
280,地产,0.005334247386079603
281,外墙,0.005222322199845628
282,300,0.00521551706616887
283,1998,0.00521551706616887
284,区域,0.0052006470151188
285,共计,0.005171072993076716
286,南侧,0.0051279471374642595
287,全部,0.005126745577890462
288,网球场,0.005041586702159541
289,散步,0.00502442333948218
290,35%,0.005014920255931606
291,19,0.005014920255931606
