,precision,recall,f1-score,support
0,0.46296296296296297,0.45180722891566266,0.4573170731707317,166.0
1,0.32644628099173556,0.4619883040935672,0.38256658595641646,171.0
2,0.13333333333333333,0.1111111111111111,0.1212121212121212,18.0
3,0.27722772277227725,0.2641509433962264,0.2705314009661836,106.0
4,0.36585365853658536,0.3333333333333333,0.34883720930232553,45.0
5,0.5909090909090909,0.65,0.6190476190476191,20.0
6,0.8,0.23529411764705882,0.3636363636363636,17.0
7,0.20408163265306123,0.3333333333333333,0.25316455696202533,30.0
8,0.27906976744186046,0.35294117647058826,0.3116883116883117,68.0
9,0.2743362831858407,0.2818181818181818,0.27802690582959644,110.0
10,0.425,0.3655913978494624,0.3930635838150289,186.0
11,0.44329896907216493,0.4648648648648649,0.45382585751978893,185.0
12,0.1875,0.058823529411764705,0.08955223880597013,51.0
13,0.5266272189349113,0.5493827160493827,0.5377643504531723,162.0
14,0.34507042253521125,0.3769230769230769,0.36029411764705876,130.0
15,0.23809523809523808,0.1,0.1408450704225352,50.0
16,0.47058823529411764,0.32432432432432434,0.38400000000000006,74.0
accuracy,0.38074260541220895,0.38074260541220895,0.38074260541220895,0.38074260541220895
macro avg,0.37355298921872887,0.33621691997305525,0.33913960979030877,1589.0
weighted avg,0.3833492449815099,0.38074260541220895,0.3756286353391682,1589.0
