,precision,recall,f1-score,support
0,0.5624036979969184,0.5802861685214626,0.5712050078247262,629.0
1,0.4428412874583796,0.6244131455399061,0.5181818181818181,639.0
2,0.41818181818181815,0.23,0.2967741935483871,100.0
3,0.4112903225806452,0.4594594594594595,0.4340425531914894,444.0
4,0.5086705202312138,0.5789473684210527,0.5415384615384615,152.0
5,0.6511627906976745,0.7272727272727273,0.6871165644171779,77.0
6,0.6333333333333333,0.3958333333333333,0.4871794871794872,48.0
7,0.36363636363636365,0.5562913907284768,0.43979057591623033,151.0
8,0.48773006134969327,0.5335570469798657,0.5096153846153846,298.0
9,0.42557651991614254,0.4481236203090508,0.43655913978494626,453.0
10,0.5076708507670851,0.52,0.5137614678899083,700.0
11,0.5518731988472623,0.5356643356643357,0.5436479772888574,715.0
12,0.40540540540540543,0.14925373134328357,0.21818181818181814,201.0
13,0.6647727272727273,0.6350067842605156,0.6495489243580848,737.0
14,0.5098814229249012,0.4822429906542056,0.4956772334293948,535.0
15,0.34375,0.12154696132596685,0.17959183673469387,181.0
16,0.5953757225433526,0.34797297297297297,0.43923240938166314,296.0
accuracy,0.5078665827564506,0.5078665827564506,0.5078665827564506,0.5078665827564506
macro avg,0.4990327084201715,0.4662277668698009,0.4683320502036782,6356.0
weighted avg,0.5104899787254603,0.5078665827564506,0.5012680306974977,6356.0
